"","pfr_d_dat","pfr_d_mod","pfr_dv_dat","pfr_dv_mod","pfr_v_dat","pfr_v_mod","pfr_fl_dat","pfr_fl_mod","pfr_fr_dat","pfr_fr_mod"
"1985",NA,0.472516687816924,NA,2.48774151049611e-07,NA,0.328934389077599,NA,0.566769390033099,1,0.574241196120509
"1986",NA,0.490845508124254,NA,2.05593119712127e-07,NA,0.27701796671605,1,0.433203641866905,0,0.474308803994076
"1987",NA,0.497810564999956,NA,3.46449925788867e-07,0.25,0.242004796150677,0,0.351966791594394,1,0.426149964660706
"1988",NA,0.525978570284254,NA,3.59670865030644e-07,0.2,0.172297923893982,0,0.180585144245578,0,0.281210434636375
"1989",NA,0.537936634970058,NA,5.4195570895692e-07,0,0.140566818508333,0,0.120484619989139,0,0.224541818687627
"1990",1,0.515949930794148,NA,3.73635684780088e-07,0,0.193925027355746,0.2,0.230966451210173,NA,0.328777522857403
"1991",NA,0.513133617715308,NA,3.6497723132637e-07,NA,0.201171045115812,0,0.248222726547789,NA,0.343385625010329
"1993",NA,0.510590157759968,NA,3.73622483867295e-07,0,0.206788766634208,NA,0.262523088891207,NA,0.356109853408457
"1994",NA,0.479145162183324,NA,2.01128116849807e-07,NA,0.314176964457991,1,0.526823329379112,NA,0.540868549219732
"1995",NA,0.513172465896944,NA,3.19604069684011e-07,NA,0.204288881504974,NA,0.253771971846228,0,0.345312878868512
"1996",NA,0.516332938857568,NA,3.98396031635195e-07,0,0.191537507804799,0,0.226203511817115,NA,0.325864253568317
"1997",NA,0.5253506115875,NA,4.78334098163961e-07,0.125,0.167607100697252,0,0.173864600594398,NA,0.280005275197398
"1998",NA,0.43207575406762,NA,8.89187080632607e-08,0.571428571428571,0.513102666693544,1,0.858266630374055,1,0.785269333410714
"1999",NA,0.501914256531937,NA,3.99289647049486e-07,0.166666666666667,0.227160913296989,0.25,0.315761134429983,0.454545454545455,0.401180110085044
"2000",0,0.513897707758336,NA,3.88205752902701e-07,1,0.197867507444106,0.125,0.241104255569237,0.4,0.338512455313654
"2001",1,0.48350665447951,0,4.5578888307014e-07,0.25,0.27517519125166,0.363636363636364,0.445096829194896,1,0.501732885410995
"2002",NA,0.504600724940648,NA,2.84861471219032e-07,0.2,0.228978476955859,0.333333333333333,0.314270069760636,0.363636363636364,0.392355887983434
"2003",NA,0.46672902072725,NA,1.50952525331951e-07,0.2,0.365575630592627,0.722222222222222,0.638412529074928,0.555555555555556,0.614466891134584
"2004",NA,0.53079001328214,NA,1.83763506093114e-07,0.5,0.176364356663629,0.285714285714286,0.180969995929524,0.125,0.268919386231385
"2005",0.5,0.55588307736143,NA,5.69131793386074e-07,0.2,0.110166843158153,0,0.0708984482523455,0,0.160729518087223
"2006",NA,0.548498531564848,NA,6.51118785103719e-07,0,0.119476483288769,0.0588235294117647,0.0856796603148588,0,0.183422298080112
"2007",NA,0.469586001710563,NA,1.80044916997388e-07,0.5,0.349649897262816,0.615384615384615,0.607486185066014,1,0.595965708753705
"2008",0,0.47464968240783,NA,2.11974386495224e-07,0.4,0.327157109633542,0.571428571428571,0.559217140774827,0.6,0.565154138714721
"2009",0,0.455115898442345,NA,2.14358784914782e-07,0.363636363636364,0.394416823208949,0.75,0.702141245860003,0.777777777777778,0.66947097955992
"2010",0.333333333333333,0.504076323660768,NA,6.12160653665656e-07,0.0909090909090909,0.21069342820175,0.25,0.280736064326769,0.461538461538462,0.382297154385993
"2011",1,0.520258004829474,NA,4.228382107536e-07,0.1,0.181263249066528,0.210526315789474,0.202909446750857,0.285714285714286,0.30573091150834
"2012",0.333333333333333,0.492903360245751,NA,3.28688305085647e-07,0.222222222222222,0.257240702341629,0.391304347826087,0.391096972468151,0.5,0.454442257039686
"2013",1,0.478704036710221,NA,1.93069363654058e-07,0.6,0.316927893299499,0.5,0.532670926769962,0.6,0.544071428068136
"2014",0.5,0.480477640738725,NA,5.38016118215625e-08,0.555555555555556,0.353599650160913,0.6875,0.59159217164726,0.428571428571429,0.556546493607978
