"","pfl_d_dat","pfl_d_mod","pfl_dv_dat","pfl_dv_mod","pfl_v_dat","pfl_v_mod","pfl_fl_dat","pfl_fl_mod","pfl_fr_dat","pfl_fr_mod"
"1985",NA,0.413093216321368,NA,0.000299914839502876,0.230769230769231,0.220752789177349,NA,0.590936720798795,0.428571428571429,0.488450585295196
"1986",0.5,0.347672364644072,0,0.00198974251472266,0.411764705882353,0.305970448803124,0.75,0.644900982161491,0.6,0.755067415239696
"1987",1,0.348970347829346,0,0.0115635864990076,0.545454545454545,0.351998345919336,0.666666666666667,0.684629578228356,1,0.902599562266253
"1988",0.5,0.397457510457409,0.2,0.0812063558434569,0.416666666666667,0.376279491143913,0.875,0.725519547291106,1,0.966598998438429
"1989",NA,0.411568423036885,0,0.000762860676880661,0.25,0.241680770504348,0.6,0.613885250417151,0.5,0.629954848210242
"1990",0.333333333333333,0.424682580223783,0,0.0049829878014501,0.214285714285714,0.278615972045603,0.818181818181818,0.657820444609702,NA,0.840451524914419
"1991",1,0.48168899704248,NA,0.00761903998197577,0,0.254590953679458,0.5,0.661255107485579,1,0.871601816902779
"1992",NA,0.379274612886839,NA,0.00422199055582748,1,0.302592248611677,0.5,0.657766464398111,NA,0.833077265474793
"1993",NA,0.427611677898491,NA,0.00251469568535697,0,0.259184046825045,0.333333333333333,0.640135014243307,NA,0.781739609560631
"1994",NA,0.4014326097346,NA,0.00478736699263102,0.333333333333333,0.291797600339928,1,0.658864758221053,NA,0.840226817556782
"1995",0,0.268992602403607,0,0.0128355919832206,1,0.421137496501459,1,0.695595806264716,1,0.912443733709446
"1996",NA,0.449219759714903,0,0.00234664748540248,0,0.245356841673658,0.5,0.636379417540773,NA,0.771930953292856
"1997",1,0.491598449713467,0,0.00342563081594904,0.153846153846154,0.23170820870413,1,0.642211606924791,NA,0.80204304801076
"1998",NA,0.462679352362616,0,0.00234582184919117,0.176470588235294,0.2380717819014,0.6,0.635146384914573,NA,0.769952418332949
"1999",NA,0.450567961892241,NA,0.00493577155839605,0.2,0.262507228803401,0.8,0.654546093708593,1,0.839550186447078
"2000",NA,0.511678459806585,0,0.0013261953328181,0,0.201008578898808,0.6,0.616179621289905,0.666666666666667,0.698038789047895
"2001",NA,0.366684362082346,0,0.00570256940629222,0.375,0.319526939356321,0.666666666666667,0.66646640112619,NA,0.856601306109314
"2002",0,0.396798314938242,NA,0.00310431608027122,0.166666666666667,0.281649720864187,0.333333333333333,0.64689243271588,1,0.811535020326254
"2003",NA,0.409513012571114,NA,0.00542630763925715,0.285714285714286,0.289551114384783,0.666666666666667,0.660670100564691,1,0.850743673332912
"2004",1,0.466337687500266,0,0.00469301544569971,0.166666666666667,0.252917107555663,1,0.652502810594796,NA,0.831479911675105
"2005",1,0.512754359439469,NA,0.00245186198190244,0,0.212669262223761,0.4,0.630733229741803,1,0.771983712257161
"2006",NA,0.373331333910425,0,0.00538860416165534,0.5,0.313397209515409,0.666666666666667,0.66443599047414,NA,0.851919793244318
"2007",0,0.408834099182509,0,0.0046989022852932,0.166666666666667,0.286724813344599,1,0.65777635665595,NA,0.837768298864712
"2008",NA,0.358201469056614,NA,0.0106077670180188,0.5,0.343156154078365,1,0.682083391786149,1,0.896390336305396
"2009",0,0.349822726574404,0,0.00420560692457,0.5,0.32191218694869,0.5,0.659912776621465,1,0.83838044700965
"2010",NA,0.337299466420172,NA,0.00608796142798732,0.571428571428571,0.342304510245181,0.5,0.670864981943931,NA,0.864176098192797
"2011",NA,0.413444663602462,0,0.00429951371658812,0.25,0.281472972139735,0.75,0.655078893976038,NA,0.830480585722788
"2012",0,0.389623328969181,0,0.00413132664474734,0.25,0.295320788680745,0.75,0.656293740579299,NA,0.82999516641762
"2013",NA,0.453332482580277,NA,0.00166170829588497,0,0.234877217665797,0.25,0.627063228567023,NA,0.735374287102881
"2014",NA,0.383384168727322,0,0.00397853390326718,0.375,0.29828406778081,0,0.655902426961644,NA,0.827826808372462
